Event	Start Gregorian Year	End Gregorian Year	Start Gregorian Date	End Gregorian Date	Start Hebrew Year	End Hebrew Year	Start Hebrew Date	End Hebrew Date
The first gehtto of World War II is establish at Piotrkov Trybunalski	1939		10/8		5700		25 Tishrei	
British refuse illegal immigrant ship, the Patria, permission to dock in Palestine	1940		8/15		5700		11 Av	
Anti-Semitic Nazi propaganda film Jud Suss premieres in Berlin	1940		9/24		5700		21 Elul	
British and France guarantee Syrian independence	1941		9/27		5702		6 Tishrei	
A 2-day strike begins in Amsterdam in opposition to anti-Jewish actions of Nazi occupiers	1941		2/25		5701		28 Shvat	
Palmach, the strike force of Haganah, is set up	1941		5/15		5701		18 Iyyar	
The Babi-Yar Massacre 	1941		9/29		5702		8 Tishrei	
The Riegner Telegram confirms the German intention to mass murder the European Jews	1942		8/8		5702		25 Av	
Zionist Biltmore Conference formulates new policy of a "Jewish Commonwealth" and a Jewish army	1942	1942	5/6	5/11	5702	5702	19 Iyyar	24 Iyyar
Nazi leaders at the Wannsee Conference refine the Final Solution	1942		1/20		5702		2 Shvat	
Warsaw Ghetto Uprising	1943	1943	4/19	5/16	5703	5703	14 Nisan	11 Iyyar
The chief of BBC orders his employees to downplay the attrocities of the Holocaust	1943		11/18		5704		20 Cheshvan	
U.S. Treasury Department rebukes State Department for relative inaction regarding Jewish refugees	1944		11/13		5705		27 Cheshvan	
CASOC is renamed to Arabian American Oil Company (Aramco)	1944		1/31		5704		6 Shvat	
Jewish Brigade is formed as part of British forces	1944		7/3		5704		12 Tamuz	
FDR establishes War Refugee Board	1944		1/22		5704		26 Tevet	
Camp for Jewish war refugees is opened at Oswego, New York	1944		6/12		5704		21 Sivan	
International tribunal for war crimes is established at Nuremberg	1945	1946	11/20	10/1	5706	5707	15 Kislev	6 Tishrei
Bess Myerson becomes the first Jewish woman to win the Miss American Pageant	1945		8/15		5705		6 Elul	
Covenant of League of Arab States, emphasizing Arab character of Palestine, is signed	1945	1945	3/22	5/3	5705	5705	8 Nisan	20 Iyyar
The United Nations is established	1945		10/24		5706		17 Cheshvan	
President Truman asks Britain to allow 100,000 Jews into Palestine	1945		8/31		5705		22 Elul	
Arab League Council decides to boycott goods produced by Zionist firms in Palestin	1945		12/2		5706		27 Kislev	
Irgun attack on British Military Headquarters in King David Hotel	1946		7/22		5706		23 Tamuz	
The British government accuses the Haganah, Irgun, and Stern gangs of planned sabotage 	1946		7/24		5706		25 Tamuz	
A large cache of weapons and counterfeiting equipment is discovered in Tel Aviv's largest synagogue	1946		7/31		5706		3 Av	
British Government announces that no more unscheduled immigration into Palestine will be allowed	1946		8/12		5706		15 Av	
The Board of Deputies of British Jews condemned Jewish underground groups	1946		11/14		5707		20 Cheshvan	
Partition of the British Indian Empire into the Dominion of Pakistan and the Union of India	1947		8/15		5707		29 Av	
It is officially announced that the British Cabinet decided to partition Palestine	1947		7/29		5707		12 Av	
The British government request that France and Italy prevent Jews from embarking for Palestine	1947		4/10		5707		20 Nisan	
Mob attack against Jewish survivors in Kielce, Poland	1946		7/4		5706		5 Tamuz	
The IMT passes judgment on the major Nazi war criminals on trial in Nuremberg	1946		8/1		5706		4 Av	
In accordance with the sentences at Nuremberg, ten defendants are executed by hanging	1946		10/16		5707		21 Tishrei	
Britain requests special session of the General Assembly to consider future government of Palestine	1947		4/2		5707		12 Nisan	
General Assembly establishes a Special Committee on Palestine (UNSCOP)	1947		5/15		5707		25 Iyyar	
The Exodus 1947 ship sails for British-administered Palestine from southern France	1947		5/15		5707		25 Iyyar	
UNSCOP issues report recommending partition of Palestine with an internationalised Jerusalem	1947		8/31		5707		15 Elul	
The British take the refugees from the Excodus 1947 to DP camps in Hamburg, Germany	1947		9/8		5707		23 Elul	
Arab Higher Committee formally rejects UNSCOP plan	1947		9/29		5708		15 Tishrei	
Jewish Agency formally accepts UNSCOP partition plan	1947		10/2		5708		18 Tishrei	
UN approves partition plan to create a Jewish and Arab state	1947		11/29		5708		16 Kislev	
Arab mobs attack Jewsih quarters in Jersualem	1947		11/30		5708		17 Kislev	
U.S. proposes suspension of partition plan	1948		3/19		5708		8 Adar II	
Security Council calls for truce in Palestine and for General Assembly to reconsider future of Palestine	1948		4/1		5708		21 Adar II	
The Arabs of Juaffa surrender to Haganah forces	1948		5/13		5708		4 Iyyar	
Declaration of Independence of the State of Israel - U.S. recognizes Israel	1948		5/14		5708		5 Iyyar	
USSR recognizes Israel	1948		5/17		5708		8 Iyyar	
War of Independence - Jerusalem is cut off by Arab forces	1948	1949	5/19	7/20	5708	5709	10 Iyyar	23 Tamuz
Brandeis University is first nonsectarian, Jewish-sponsored, instituion for higher education	1948		5/20		5708		11 Iyyar	
Israel Defense Forces (IDF) are formed	1948		5/31		5708		22 Iyyar	
First Israeli coin is minted	1948		8/17		5708		12 Av	
Bernadotte Plan is published by UN	1948		9/20		5708		16 Elul	
The first batch of Pitfire planes is shipped from Checkoslovakia to Israel	1948		9/27		5708		23 Elul	
First census in the State of Israel	1948		11/8		5709		6 Cheshvan	
General Assembly establishes Palestine Conciliation Commission	1948		12/11		5709		9 Kislev	
Beginning of Operation Magic Carpet to bring Yemenite Jews to Israel	1948		12/17		5709		15 Kislev	
Jerusalem is declared the capitol of Israel and is divided under Israeli and Jordanian rule	1949		1/13		5709		12 Tevet	
First Knesset (parliament) is elected	1949		1/21		5709		20 Tevet	
Britain, New Zealand, the Netherlands, Australia, and Chile recognize Israel	1949		1/30		5709		29 Tevet	
Armistice agreement signed with Egypt	1949		2/24		5709		25 Shvat	
David Ben-Gurion presents first government to the Knesset	1949		3/9		5709		8 Adar	
Armistice agreement signed with Lebanon	1949		3/23		5709		22 Adar	
Armistice agreement signed with Jordan	1949		4/3		5709		4 Nisan	
Trans-Jordan becomes the Hashemite Kingdom of Jordan	1949		4/25		5709		26 Nisan	
Israel is admitted to the United Nations as 59th member	1949		5/11		5709		12 Iyyar	
Armistice agreement signed with Syria	1949		7/20		5709		23 Tamuz	
General Assembly votes for internationalization of Jerusalem under Trusteeship Council administration	1949		12/9		5710		18 Kislev	
Israeli government decides to hold its Knesset session in Jerusalem	1949		12/13		5710		22 Kislev	
